Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
2020-02-27T09:30:53.252+0800: 2.474: [GC (Allocation Failure) [PSYoungGen: 8153K->896K(11776K)] 23578K->16664K(46080K), 0.0011987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T09:30:53.281+0800: 2.503: [GC (Allocation Failure) [PSYoungGen: 8064K->876K(12288K)] 23832K->17172K(46592K), 0.0016443 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T09:30:53.318+0800: 2.540: [GC (Allocation Failure) [PSYoungGen: 8556K->1330K(12288K)] 24852K->18011K(46592K), 0.0012512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T09:30:53.361+0800: 2.582: [GC (Allocation Failure) [PSYoungGen: 9010K->896K(12800K)] 25691K->18072K(47104K), 0.0014309 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T09:31:03.212+0800: 12.434: [GC (Allocation Failure) [PSYoungGen: 9600K->896K(12800K)] 26776K->18496K(47104K), 0.0015693 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T15:44:44.310+0800: 22433.532: [GC (Allocation Failure) [PSYoungGen: 9600K->352K(12800K)] 27200K->18540K(47104K), 0.0034532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-27T23:18:01.589+0800: 49630.911: [GC (Allocation Failure) [PSYoungGen: 9056K->64K(12800K)] 27244K->18316K(47104K), 0.0014607 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-28T17:13:38.628+0800: 114166.739: [GC (Allocation Failure) [PSYoungGen: 8768K->64K(13312K)] 27020K->18332K(47616K), 0.0056272 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-02-28T23:53:44.706+0800: 138172.816: [GC (Allocation Failure) [PSYoungGen: 9280K->32K(12800K)] 27548K->18316K(47104K), 0.0013762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-02-29T11:27:30.737+0800: 179798.954: [GC (Allocation Failure) [PSYoungGen: 9248K->32K(12800K)] 27532K->18316K(47104K), 0.0013294 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
